score_rand_1,key_resp_0.keys,key_resp_0.rt,key_resp_before.keys,key_resp_before.rt,time_instructions,training_resp.keys,training_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,imageFile,participant,group,sitzung,geschlecht*,date,expName,psychopyVersion,OS,frameRate,training_resp_2.keys,training_resp_2.corr,training_resp_2.rt,repeat_training_loop.thisRepN,repeat_training_loop.thisTrialN,repeat_training_loop.thisN,repeat_training_loop.thisIndex,repeat_training_loop.ran,key_resp_break_1.keys,key_resp_break_1.rt,time_trial,key_resp_cue1.keys,key_resp_cue1.rt,key_pause.keys,key_resp_cue2.keys,resp1.keys,resp1.corr,resp1.rt,resp2.keys,resp2.corr,resp2.rt,resp3.keys,resp3.corr,resp3.rt,resp_total_value,resp_total_time,on_time,too_early,resp_total_corr,did_get_here,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,trials_loop.ran,cue1,color1expl,cue2,color2expl,conditions,trial_type,congruent,corrAns1,corrAns2,corrAns3,corrAnsR,numbers_seq,numbers_pr,file_number,Jitter_Fix,Jitter_ICI,img_fix_1,img_fix_2,key_resp_cue2.rt,filler_press,key_pause.rt,bonus
,,,,,,,,,,,,,,1,A,Exp,Männlich,2020-04-11_15h10.47.191,Mental_Exp,2020.1.2,MacIntel,60,,,,,,,,,,,1395.111,,,,,,0,,,0,,,0,,3,2.5,0,0,0,1,0,121,121,121,1,cues/white.png,white,cues/pink.png,pink,subrule,experimental,1,1,1,3,1,1 - 1 - 3,32,4,5.5,5.5,cues/fix_1.png,cues/fix_2.png,,,,
,,,,,,,,,,,,,,1,A,Exp,Männlich,2020-04-11_15h10.47.191,Mental_Exp,2020.1.2,MacIntel,60,,,,,,,,,,,1409.628,,,,,,0,,,0,,,0,,3,2.5,0,0,0,1,0,122,122,122,1,cues/black.png,black,cues/red.png,red,general,experimental,1,4,2,4,1,4 - 2 - 4,15,4,3.5,3.5,cues/fix_1.png,cues/fix_2.png,,,,
,,,,,,,,,,,,,,1,A,Exp,Männlich,2020-04-11_15h10.47.191,Mental_Exp,2020.1.2,MacIntel,60,,,,,,,,,,,1420.145,,,,,,0,,,0,,,0,,3,2.5,0,0,0,1,0,123,123,123,1,cues/red.png,red,cues/red.png,red,spec,experimental,1,4,2,4,1,4 - 2 - 4,7,4,6,5,cues/fix_1.png,cues/fix_2.png,,,,
,,,,,,,,,,,,,,1,A,Exp,Männlich,2020-04-11_15h10.47.191,Mental_Exp,2020.1.2,MacIntel,60,,,,,,,,,,,1434.661,,,,,,0,,,0,,,0,,3,2.5,0,0,0,1,0,124,124,124,1,cues/yellow.png,yellow,cues/yellow.png,yellow,spec,experimental,1,1,3,1,1,1 - 3 - 1,8,4,2,4.5,cues/fix_1.png,cues/fix_2.png,,,,
,,,,,,,,,,,,,,1,A,Exp,Männlich,2020-04-11_15h10.47.191,Mental_Exp,2020.1.2,MacIntel,60,,,,,,,,,,,1444.677,,,,,,0,,,0,,,0,,3,2.5,0,0,0,1,0,125,125,125,1,cues/white.png,white,cues/purple.png,purple,subrule,experimental,1,2,2,4,1,2 - 2 - 4,27,4,5.5,3,cues/fix_1.png,cues/fix_2.png,,,,
,,,,,,,,,,,,,,1,A,Exp,Männlich,2020-04-11_15h10.47.191,Mental_Exp,2020.1.2,MacIntel,60,,,,,,,,,,,1456.694,,,,,,0,,,0,,,0,,3,2.5,0,0,0,1,0,126,126,126,1,cues/black.png,black,cues/purple.png,purple,general,experimental,1,2,2,4,1,2 - 2 - 4,11,4,2,5,cues/fix_1.png,cues/fix_2.png,,,,
,,,,,,,,,,,,,,1,A,Exp,Männlich,2020-04-11_15h10.47.191,Mental_Exp,2020.1.2,MacIntel,60,,,,,,,,,,,1467.213,,,,,,0,,,0,,,0,,3,2.5,0,0,0,1,0,127,127,127,1,cues/grey.png,grey,cues/lightblue.png,lightblue,rule,experimental,1,3,3,1,1,3 - 3 - 1,24,4,4,4.5,cues/fix_1.png,cues/fix_2.png,,,,
,,,,,,,,,,,,,,1,A,Exp,Männlich,2020-04-11_15h10.47.191,Mental_Exp,2020.1.2,MacIntel,60,,,,,,,,,,,1479.228,,,,,,0,,,0,,,0,,3,2.5,0,0,0,1,0,128,128,128,1,cues/green.png,green,cues/green.png,green,spec,experimental,1,2,4,2,1,2 - 4 - 2,6,4,3.5,5,cues/fix_1.png,cues/fix_2.png,,,,
,,,,,,,,,,,,,,1,A,Exp,Männlich,2020-04-11_15h10.47.191,Mental_Exp,2020.1.2,MacIntel,60,,,,,,,,,,,1491.245,,,,,,0,,,0,,,0,,3,2.5,0,0,0,1,0,129,129,129,1,cues/white.png,white,cues/purple.png,purple,subrule,experimental,1,2,2,4,1,2 - 2 - 4,31,4,3.5,5.5,cues/fix_1.png,cues/fix_2.png,,,,
,,,,,,,,,,,,,,1,A,Exp,Männlich,2020-04-11_15h10.47.191,Mental_Exp,2020.1.2,MacIntel,60,,,,,,,,,,,1503.761,,,,,,0,,,0,,,0,,3,2.5,0,0,1,1,0,130,130,130,1,cues/grey.png,grey,cues/red.png,red,fill_rule,filler,0,0,0,0,4,0 - 0 - 0,1,4,2.5,3,cues/fix_1.png,cues/fix_2.png,,0,,
,,,,,,,,,,,,,,1,A,Exp,Männlich,2020-04-11_15h10.47.191,Mental_Exp,2020.1.2,MacIntel,60,,,,,,,,,,,1512.778,,,,,,0,,,0,,,0,,3,2.5,0,0,0,1,0,131,131,131,1,cues/black.png,black,cues/orange.png,orange,general,experimental,1,3,1,3,1,3 - 1 - 3,17,4,3.5,6,cues/fix_1.png,cues/fix_2.png,,,,
,,,,,,,,,,,,,,1,A,Exp,Männlich,2020-04-11_15h10.47.191,Mental_Exp,2020.1.2,MacIntel,60,,,,,,,,,,,1525.794,,,,,,0,,,0,,,0,,3,2.5,0,0,0,1,0,132,132,132,1,cues/white.png,white,cues/pink.png,pink,subrule,experimental,1,1,1,3,1,1 - 1 - 3,26,4,4.5,4,cues/fix_1.png,cues/fix_2.png,,,,
,,,,,,,,,,,,,,1,A,Exp,Männlich,2020-04-11_15h10.47.191,Mental_Exp,2020.1.2,MacIntel,60,,,,,,,,,,,1537.811,,,,,,0,,,0,,,0,,3,2.5,0,0,0,1,0,133,133,133,1,cues/black.png,black,cues/lightblue.png,lightblue,general,experimental,1,3,3,1,1,3 - 3 - 1,12,4,5,2,cues/fix_1.png,cues/fix_2.png,,,,
,,,,,,,,,,,,,,1,A,Exp,Männlich,2020-04-11_15h10.47.191,Mental_Exp,2020.1.2,MacIntel,60,,,,,,,,,,,1548.327,,,,,,0,,,0,,,0,,3,2.5,0,0,0,1,0,134,134,134,1,cues/white.png,white,cues/purple.png,purple,subrule,experimental,1,2,2,4,1,2 - 2 - 4,29,4,3.5,4.5,cues/fix_1.png,cues/fix_2.png,,,,
,,,,,,,,,,,,,,1,A,Exp,Männlich,2020-04-11_15h10.47.191,Mental_Exp,2020.1.2,MacIntel,60,,,,,,,,,,,1559.844,,,,,,0,,,0,,,0,,3,2.5,0,0,0,1,0,135,135,135,1,cues/purple.png,purple,cues/purple.png,purple,spec,experimental,1,2,2,4,1,2 - 2 - 4,3,4,3.5,4.5,cues/fix_1.png,cues/fix_2.png,,,,
,,,,,,,,,,,,,,1,A,Exp,Männlich,2020-04-11_15h10.47.191,Mental_Exp,2020.1.2,MacIntel,60,,,,,,,,,,,1571.361,,,,,,0,,,0,,,0,,3,2.5,0,0,0,1,0,136,136,136,1,cues/white.png,white,cues/pink.png,pink,subrule,experimental,1,1,1,3,1,1 - 1 - 3,30,4,5,2,cues/fix_1.png,cues/fix_2.png,,,,
,,,,,,,,,,,,,,1,A,Exp,Männlich,2020-04-11_15h10.47.191,Mental_Exp,2020.1.2,MacIntel,60,,,,,,,,,,,1581.86,,,,,,0,,,0,,,0,,3,2.5,0,0,0,1,0,137,137,137,1,cues/blue.png,blue,cues/blue.png,blue,spec,experimental,1,4,4,2,1,4 - 4 - 2,5,4,3,3.5,cues/fix_1.png,cues/fix_2.png,,,,
,,,,,,,,,,,,,,1,A,Exp,Männlich,2020-04-11_15h10.47.191,Mental_Exp,2020.1.2,MacIntel,60,,,,,,,,,,,1591.876,,,,,,0,,,0,,,0,,3,2.5,0,0,0,1,0,138,138,138,1,cues/lightblue.png,lightblue,cues/lightblue.png,lightblue,spec,experimental,1,3,3,1,1,3 - 3 - 1,4,4,3.5,6,cues/fix_1.png,cues/fix_2.png,,,,
,,,,,,,,,,,,,,1,A,Exp,Männlich,2020-04-11_15h10.47.191,Mental_Exp,2020.1.2,MacIntel,60,,,,,,,,,,,1604.876,,,,,,0,,,0,,,0,,3,2.5,0,0,0,1,0,139,139,139,1,cues/grey.png,grey,cues/blue.png,blue,rule,experimental,1,4,4,2,1,4 - 4 - 2,21,4,2,3.5,cues/fix_1.png,cues/fix_2.png,,,,
,,,,,,,,,,,,,,1,A,Exp,Männlich,2020-04-11_15h10.47.191,Mental_Exp,2020.1.2,MacIntel,60,,,,,,,,,,,1613.893,,,,,,0,,,0,,,0,,3,2.5,0,0,0,1,0,140,140,140,1,cues/white.png,white,cues/pink.png,pink,subrule,experimental,1,1,1,3,1,1 - 1 - 3,28,4,5.5,5,cues/fix_1.png,cues/fix_2.png,,,,
,,,,,,,,,,,,,,1,A,Exp,Männlich,2020-04-11_15h10.47.191,Mental_Exp,2020.1.2,MacIntel,60,,,,,,,,,,,1627.892,,,,,,0,,,0,,,0,,3,2.5,0,0,1,1,0,141,141,141,1,cues/blue.png,blue,cues/orange.png,orange,fill_spec,filler,0,0,0,0,4,0 - 0 - 0,1,4,3.5,3.5,cues/fix_1.png,cues/fix_2.png,,0,,
,,,,,,,,,,,,,,1,A,Exp,Männlich,2020-04-11_15h10.47.191,Mental_Exp,2020.1.2,MacIntel,60,,,,,,,,,,,1638.409,,,,,,0,,,0,,,0,,3,2.5,0,0,0,1,0,142,142,142,1,cues/grey.png,grey,cues/purple.png,purple,rule,experimental,1,2,2,4,1,2 - 2 - 4,23,4,5,5.5,cues/fix_1.png,cues/fix_2.png,,,,
,,,,,,,,,,,,,,1,A,Exp,Männlich,2020-04-11_15h10.47.191,Mental_Exp,2020.1.2,MacIntel,60,,,,,,,,,,,1652.409,,,,,,0,,,0,,,0,,3,2.5,0,0,0,1,0,143,143,143,1,cues/white.png,white,cues/purple.png,purple,subrule,experimental,1,2,2,4,1,2 - 2 - 4,33,4,4.5,3,cues/fix_1.png,cues/fix_2.png,,,,
,,,,,,,,,,,,,,1,A,Exp,Männlich,2020-04-11_15h10.47.191,Mental_Exp,2020.1.2,MacIntel,60,,,,,,,,,,,1663.425,,,,,,0,,,0,,,0,,3,2.5,0,0,0,1,0,144,144,144,1,cues/black.png,black,cues/yellow.png,yellow,general,experimental,1,1,3,1,1,1 - 3 - 1,16,4,5,5.5,cues/fix_1.png,cues/fix_2.png,,,,
,,,,,,,,,,,,,,1,A,Exp,Männlich,2020-04-11_15h10.47.191,Mental_Exp,2020.1.2,MacIntel,60,,,,,,,,,,,1677.442,,,,,,0,,,0,,,0,,3,2.5,0,0,1,1,0,145,145,145,1,cues/grey.png,grey,cues/green.png,green,fill_rule,filler,0,0,0,0,4,0 - 0 - 0,1,4,5,5.5,cues/fix_1.png,cues/fix_2.png,,0,,
,,,,,,,,,,,,,,1,A,Exp,Männlich,2020-04-11_15h10.47.191,Mental_Exp,2020.1.2,MacIntel,60,,,,,,,,,,,1691.458,,,,,,0,,,0,,,0,,3,2.5,0,0,0,1,0,146,146,146,1,cues/grey.png,grey,cues/lightblue.png,lightblue,rule,experimental,1,3,3,1,1,3 - 3 - 1,20,4,6,5.5,cues/fix_1.png,cues/fix_2.png,,,,
,,,,,,,,,,,,,,1,A,Exp,Männlich,2020-04-11_15h10.47.191,Mental_Exp,2020.1.2,MacIntel,60,,,,,,,,,,,1706.475,,,,,,0,,,0,,,0,,3,2.5,0,0,0,1,0,147,147,147,1,cues/black.png,black,cues/blue.png,blue,general,experimental,1,4,4,2,1,4 - 4 - 2,13,4,4.5,5,cues/fix_1.png,cues/fix_2.png,,,,
